cliente_id,edad,meses_cliente,gasto_mensual_promedio,frecuencia_compra_mensual,tickets_soporte,categoria_preferida,region,ultima_compra_dias,se_queda
CLI-00001,37,34,318992,0.85,0,Mini PCs / SBC,Metropolitana,90,1
CLI-00002,28,48,58650,0.25,0,Tarjetas Gráficas,Valparaíso,39,0
CLI-00003,26,3,40701,1.03,0,Tarjetas Gráficas,Biobío,19,0
CLI-00004,50,40,255287,0.76,1,ThinkPad Business,Metropolitana,80,1
CLI-00005,39,10,126480,0.97,1,ThinkPad Business,Metropolitana,93,0
CLI-00006,25,29,124830,0.1,1,Mini PCs / SBC,Biobío,79,1
CLI-00007,34,86,64537,0.21,0,Mini PCs / SBC,Metropolitana,9,1
CLI-00008,25,16,80805,0.71,0,Laptops Compactas,Biobío,6,0
CLI-00009,18,4,156193,5.23,1,Tarjetas Gráficas,Metropolitana,7,1
CLI-00010,38,54,50030,0.1,0,Tarjetas Gráficas,Metropolitana,5,1
CLI-00011,41,3,133650,0.1,1,Laptops Vintage,Metropolitana,204,0
CLI-00012,30,88,224678,0.1,0,Tarjetas Gráficas,Biobío,31,1
CLI-00013,48,6,166836,0.13,0,Laptops Vintage,Biobío,22,1
CLI-00014,35,57,211757,1.41,2,Mini PCs / SBC,Valparaíso,24,1
CLI-00015,36,24,151985,0.1,0,Tarjetas Gráficas,Metropolitana,11,1
CLI-00016,34,4,69339,2.42,1,ThinkPad Business,Antofagasta,48,0
CLI-00017,34,11,139633,0.1,1,Tarjetas Gráficas,Biobío,45,0
CLI-00018,39,5,179584,1.27,1,Mini PCs / SBC,Antofagasta,42,1
CLI-00019,25,26,73729,0.1,1,Laptops Compactas,Antofagasta,3,0
CLI-00020,46,30,57852,0.1,0,Mini PCs / SBC,Metropolitana,10,1
CLI-00021,36,18,54834,1.44,1,Laptops Vintage,Metropolitana,108,1
CLI-00022,40,5,157858,0.14,0,ThinkPad Business,Metropolitana,36,1
CLI-00023,34,44,46293,0.49,1,Tarjetas Gráficas,Biobío,19,1
CLI-00024,18,41,68610,0.75,2,Laptops Vintage,Biobío,167,0
CLI-00025,36,51,467407,0.88,1,Mini PCs / SBC,Metropolitana,54,1
CLI-00026,39,94,218233,0.19,0,Mini PCs / SBC,Metropolitana,10,1
CLI-00027,29,4,211763,0.55,1,Mini PCs / SBC,Metropolitana,1,1
CLI-00028,33,21,378206,1.46,1,Tarjetas Gráficas,Metropolitana,5,1
CLI-00029,33,19,44213,0.9,0,Mini PCs / SBC,Metropolitana,8,1
CLI-00030,36,20,204830,0.37,2,ThinkPad Business,Metropolitana,53,1
CLI-00031,44,32,58382,2.51,1,Mini PCs / SBC,Antofagasta,4,1
CLI-00032,29,22,49433,0.66,4,Mini PCs / SBC,Biobío,53,0
CLI-00033,48,30,439987,0.83,1,Tarjetas Gráficas,Araucanía,11,1
CLI-00034,26,28,215369,0.67,2,Laptops Vintage,Metropolitana,60,0
CLI-00035,25,22,58788,0.13,0,Mini PCs / SBC,Araucanía,1,1
CLI-00036,50,9,206635,0.1,0,ThinkPad Business,Metropolitana,114,0
CLI-00037,18,6,233400,0.1,0,ThinkPad Business,Metropolitana,64,1
CLI-00038,53,36,264919,0.15,0,Laptops Compactas,Metropolitana,81,1
CLI-00039,19,9,57825,0.5,1,Laptops Compactas,Valparaíso,19,1
CLI-00040,38,5,119482,0.61,1,Tarjetas Gráficas,Antofagasta,35,1
CLI-00041,35,6,64476,1.1,0,ThinkPad Business,Biobío,38,1
CLI-00042,35,25,63961,1.01,2,Laptops Compactas,Metropolitana,62,1
CLI-00043,27,20,236946,2.67,3,Tarjetas Gráficas,Biobío,131,1
CLI-00044,35,8,142280,0.4,0,Mini PCs / SBC,Valparaíso,48,1
CLI-00045,31,72,73307,0.56,1,Laptops Vintage,Metropolitana,39,1
CLI-00046,41,38,177984,0.4,2,Laptops Compactas,Araucanía,60,1
CLI-00047,26,12,92644,0.38,0,Tarjetas Gráficas,Araucanía,5,0
CLI-00048,39,4,49622,0.1,0,ThinkPad Business,Metropolitana,26,0
CLI-00049,30,7,105717,0.27,2,Tarjetas Gráficas,Valparaíso,80,0
CLI-00050,18,12,98661,1.43,0,ThinkPad Business,Araucanía,98,1
CLI-00051,35,24,116254,0.86,1,ThinkPad Business,Metropolitana,13,1
CLI-00052,38,8,43974,0.1,3,Laptops Vintage,Biobío,47,1
CLI-00053,21,6,75380,1.08,2,Laptops Vintage,Araucanía,69,1
CLI-00054,22,15,26037,1.03,3,ThinkPad Business,Metropolitana,14,1
CLI-00055,32,67,46696,0.81,0,ThinkPad Business,Metropolitana,66,0
CLI-00056,35,18,124224,0.13,0,Mini PCs / SBC,Metropolitana,33,0
CLI-00057,30,38,112793,0.79,1,Laptops Compactas,Metropolitana,25,1
CLI-00058,26,16,600000,0.88,0,Mini PCs / SBC,Araucanía,43,1
