fecha,semana,mes,trimestre,anio,producto_id,producto_nombre,categoria,region,precio_unitario,costo_unitario,stock_disponible,unidades_vendidas,gasto_marketing,es_feriado,temperatura,clientes_nuevos,clientes_recurrentes,ingreso_total,ganancia_total
2022-01-03,1,1,1,2022,PROD-001,GPD Win 4,Laptops Compactas,Metropolitana,1413000,1100000,9,5,111000,1,22.7,1,3,7065000,1565000
2022-01-03,1,1,1,2022,PROD-001,GPD Win 4,Laptops Compactas,Valparaíso,1413000,1100000,2,1,90000,1,22.7,0,1,1413000,313000
2022-01-03,1,1,1,2022,PROD-001,GPD Win 4,Laptops Compactas,Biobío,1413000,1100000,7,2,137000,1,22.7,0,1,2826000,626000
2022-01-03,1,1,1,2022,PROD-001,GPD Win 4,Laptops Compactas,Araucanía,1413000,1100000,0,0,146000,1,22.7,0,0,0,0
2022-01-03,1,1,1,2022,PROD-001,GPD Win 4,Laptops Compactas,Antofagasta,1413000,1100000,1,1,93000,1,22.7,0,1,1413000,313000
2022-01-03,1,1,1,2022,PROD-002,GPD Pocket 3,Laptops Compactas,Metropolitana,968000,750000,11,5,126000,1,22.7,1,3,4840000,1090000
2022-01-03,1,1,1,2022,PROD-002,GPD Pocket 3,Laptops Compactas,Valparaíso,968000,750000,0,0,60000,1,22.7,0,0,0,0
2022-01-03,1,1,1,2022,PROD-002,GPD Pocket 3,Laptops Compactas,Biobío,968000,750000,0,0,92000,1,22.7,0,0,0,0
2022-01-03,1,1,1,2022,PROD-002,GPD Pocket 3,Laptops Compactas,Araucanía,968000,750000,2,1,87000,1,22.7,0,1,968000,218000
2022-01-03,1,1,1,2022,PROD-002,GPD Pocket 3,Laptops Compactas,Antofagasta,968000,750000,6,2,69000,1,22.7,0,2,1936000,436000
2022-01-03,1,1,1,2022,PROD-003,ThinkPad T480,ThinkPad Business,Metropolitana,320000,220000,103,50,26000,1,22.7,21,33,16000000,5000000
2022-01-03,1,1,1,2022,PROD-003,ThinkPad T480,ThinkPad Business,Valparaíso,320000,220000,54,19,12000,1,22.7,7,10,6080000,1900000
2022-01-03,1,1,1,2022,PROD-003,ThinkPad T480,ThinkPad Business,Biobío,320000,220000,31,21,42000,1,22.7,11,17,6720000,2100000
2022-01-03,1,1,1,2022,PROD-003,ThinkPad T480,ThinkPad Business,Araucanía,320000,220000,35,11,26000,1,22.7,3,8,3520000,1100000
2022-01-03,1,1,1,2022,PROD-003,ThinkPad T480,ThinkPad Business,Antofagasta,320000,220000,63,21,26000,1,22.7,5,15,6720000,2100000
2022-01-03,1,1,1,2022,PROD-004,ThinkPad X1 Carbon Gen 6,ThinkPad Business,Metropolitana,680000,480000,82,26,23000,1,22.7,11,27,17680000,5200000
2022-01-03,1,1,1,2022,PROD-004,ThinkPad X1 Carbon Gen 6,ThinkPad Business,Valparaíso,680000,480000,22,8,66000,1,22.7,2,8,5440000,1600000
2022-01-03,1,1,1,2022,PROD-004,ThinkPad X1 Carbon Gen 6,ThinkPad Business,Biobío,680000,480000,18,9,40000,1,22.7,3,7,6120000,1800000
2022-01-03,1,1,1,2022,PROD-004,ThinkPad X1 Carbon Gen 6,ThinkPad Business,Araucanía,680000,480000,15,9,34000,1,22.7,2,9,6120000,1800000
2022-01-03,1,1,1,2022,PROD-004,ThinkPad X1 Carbon Gen 6,ThinkPad Business,Antofagasta,680000,480000,18,6,53000,1,22.7,2,5,4080000,1200000
2022-01-03,1,1,1,2022,PROD-005,ThinkPad X230,ThinkPad Business,Metropolitana,180000,120000,111,32,7000,1,22.7,16,29,5760000,1920000
2022-01-03,1,1,1,2022,PROD-005,ThinkPad X230,ThinkPad Business,Valparaíso,180000,120000,27,14,15000,1,22.7,4,7,2520000,840000
2022-01-03,1,1,1,2022,PROD-005,ThinkPad X230,ThinkPad Business,Biobío,180000,120000,105,27,27000,1,22.7,12,17,4860000,1620000
2022-01-03,1,1,1,2022,PROD-005,ThinkPad X230,ThinkPad Business,Araucanía,180000,120000,35,11,19000,1,22.7,5,8,1980000,660000
2022-01-03,1,1,1,2022,PROD-005,ThinkPad X230,ThinkPad Business,Antofagasta,180000,120000,31,18,13000,1,22.7,5,13,3240000,1080000
2022-01-03,1,1,1,2022,PROD-006,Sony Vaio P VGN-P,Laptops Vintage,Metropolitana,522000,350000,13,4,19000,1,22.7,1,2,2088000,688000
2022-01-03,1,1,1,2022,PROD-006,Sony Vaio P VGN-P,Laptops Vintage,Valparaíso,522000,350000,3,1,30000,1,22.7,0,1,522000,172000
2022-01-03,1,1,1,2022,PROD-006,Sony Vaio P VGN-P,Laptops Vintage,Biobío,522000,350000,7,3,41000,1,22.7,1,3,1566000,516000
2022-01-03,1,1,1,2022,PROD-006,Sony Vaio P VGN-P,Laptops Vintage,Araucanía,522000,350000,3,1,22000,1,22.7,0,1,522000,172000
2022-01-03,1,1,1,2022,PROD-006,Sony Vaio P VGN-P,Laptops Vintage,Antofagasta,522000,350000,1,1,48000,1,22.7,0,1,522000,172000
2022-01-03,1,1,1,2022,PROD-007,Sony Vaio Z,Laptops Vintage,Metropolitana,442000,300000,28,9,57000,1,22.7,4,6,3978000,1278000
2022-01-03,1,1,1,2022,PROD-007,Sony Vaio Z,Laptops Vintage,Valparaíso,442000,300000,3,1,18000,1,22.7,0,1,442000,142000
2022-01-03,1,1,1,2022,PROD-007,Sony Vaio Z,Laptops Vintage,Biobío,442000,300000,8,5,35000,1,22.7,1,3,2210000,710000
2022-01-03,1,1,1,2022,PROD-007,Sony Vaio Z,Laptops Vintage,Araucanía,442000,300000,0,0,33000,1,22.7,0,0,0,0
2022-01-03,1,1,1,2022,PROD-007,Sony Vaio Z,Laptops Vintage,Antofagasta,442000,300000,9,4,48000,1,22.7,1,4,1768000,568000
2022-01-03,1,1,1,2022,PROD-008,Toshiba Libretto W100,Laptops Vintage,Metropolitana,384000,250000,38,10,30000,1,22.7,2,6,3840000,1340000
2022-01-03,1,1,1,2022,PROD-008,Toshiba Libretto W100,Laptops Vintage,Valparaíso,384000,250000,6,2,50000,1,22.7,0,2,768000,268000
2022-01-03,1,1,1,2022,PROD-008,Toshiba Libretto W100,Laptops Vintage,Biobío,384000,250000,0,0,16000,1,22.7,0,0,0,0
2022-01-03,1,1,1,2022,PROD-008,Toshiba Libretto W100,Laptops Vintage,Araucanía,384000,250000,0,0,22000,1,22.7,0,0,0,0
2022-01-03,1,1,1,2022,PROD-008,Toshiba Libretto W100,Laptops Vintage,Antofagasta,384000,250000,0,0,17000,1,22.7,0,0,0,0
2022-01-03,1,1,1,2022,PROD-009,NVIDIA RTX 4070,Tarjetas Gráficas,Metropolitana,708000,580000,29,17,88000,1,22.7,7,15,12036000,2176000
2022-01-03,1,1,1,2022,PROD-009,NVIDIA RTX 4070,Tarjetas Gráficas,Valparaíso,708000,580000,12,4,80000,1,22.7,0,3,2832000,512000
2022-01-03,1,1,1,2022,PROD-009,NVIDIA RTX 4070,Tarjetas Gráficas,Biobío,708000,580000,23,6,78000,1,22.7,2,6,4248000,768000
2022-01-03,1,1,1,2022,PROD-009,NVIDIA RTX 4070,Tarjetas Gráficas,Araucanía,708000,580000,24,8,29000,1,22.7,3,8,5664000,1024000
2022-01-03,1,1,1,2022,PROD-009,NVIDIA RTX 4070,Tarjetas Gráficas,Antofagasta,708000,580000,6,3,37000,1,22.7,1,2,2124000,384000
2022-01-03,1,1,1,2022,PROD-010,NVIDIA RTX 4080,Tarjetas Gráficas,Metropolitana,1114000,900000,26,9,96000,1,22.7,3,10,10026000,1926000
2022-01-03,1,1,1,2022,PROD-010,NVIDIA RTX 4080,Tarjetas Gráficas,Valparaíso,1114000,900000,15,4,94000,1,22.7,2,3,4456000,856000
2022-01-03,1,1,1,2022,PROD-010,NVIDIA RTX 4080,Tarjetas Gráficas,Biobío,1114000,900000,12,4,109000,1,22.7,1,2,4456000,856000
2022-01-03,1,1,1,2022,PROD-010,NVIDIA RTX 4080,Tarjetas Gráficas,Araucanía,1114000,900000,7,4,64000,1,22.7,1,4,4456000,856000
2022-01-03,1,1,1,2022,PROD-010,NVIDIA RTX 4080,Tarjetas Gráficas,Antofagasta,1114000,900000,4,2,44000,1,22.7,0,2,2228000,428000
2022-01-03,1,1,1,2022,PROD-011,NVIDIA RTX 4090,Tarjetas Gráficas,Metropolitana,1995000,1650000,21,10,229000,1,22.7,3,7,19950000,3450000
2022-01-03,1,1,1,2022,PROD-011,NVIDIA RTX 4090,Tarjetas Gráficas,Valparaíso,1995000,1650000,0,0,68000,1,22.7,0,0,0,0
2022-01-03,1,1,1,2022,PROD-011,NVIDIA RTX 4090,Tarjetas Gráficas,Biobío,1995000,1650000,5,3,95000,1,22.7,0,2,5985000,1035000
2022-01-03,1,1,1,2022,PROD-011,NVIDIA RTX 4090,Tarjetas Gráficas,Araucanía,1995000,1650000,3,1,70000,1,22.7,0,1,1995000,345000
2022-01-03,1,1,1,2022,PROD-011,NVIDIA RTX 4090,Tarjetas Gráficas,Antofagasta,1995000,1650000,4,2,156000,1,22.7,0,2,3990000,690000
2022-01-03,1,1,1,2022,PROD-012,Raspberry Pi 5 8GB,Mini PCs / SBC,Metropolitana,95000,70000,542,145,8000,1,22.7,55,86,13775000,3625000
2022-01-03,1,1,1,2022,PROD-012,Raspberry Pi 5 8GB,Mini PCs / SBC,Valparaíso,95000,70000,60,39,8000,1,22.7,12,26,3705000,975000
2022-01-03,1,1,1,2022,PROD-012,Raspberry Pi 5 8GB,Mini PCs / SBC,Biobío,95000,70000,137,50,5000,1,22.7,25,38,4750000,1250000
2022-01-03,1,1,1,2022,PROD-012,Raspberry Pi 5 8GB,Mini PCs / SBC,Araucanía,95000,70000,112,36,4000,1,22.7,11,24,3420000,900000
2022-01-03,1,1,1,2022,PROD-012,Raspberry Pi 5 8GB,Mini PCs / SBC,Antofagasta,95000,70000,61,28,8000,1,22.7,7,18,2660000,700000
2022-01-03,1,1,1,2022,PROD-013,Orange Pi 5,Mini PCs / SBC,Metropolitana,84000,62000,311,85,8000,1,22.7,40,51,7140000,1870000
2022-01-03,1,1,1,2022,PROD-013,Orange Pi 5,Mini PCs / SBC,Valparaíso,84000,62000,78,23,9000,1,22.7,8,19,1932000,506000
2022-01-03,1,1,1,2022,PROD-013,Orange Pi 5,Mini PCs / SBC,Biobío,84000,62000,82,28,4000,1,22.7,10,24,2352000,616000
2022-01-03,1,1,1,2022,PROD-013,Orange Pi 5,Mini PCs / SBC,Araucanía,84000,62000,46,20,4000,1,22.7,7,9,1680000,440000
2022-01-03,1,1,1,2022,PROD-013,Orange Pi 5,Mini PCs / SBC,Antofagasta,84000,62000,84,22,9000,1,22.7,7,16,1848000,484000
