cliente_id,edad,ingreso_anual_estimado,gasto_anual_total,frecuencia_compra_anual,meses_cliente,ticket_promedio,region
CLI-00001,37,45103781,4155638,10,34,415563,Metropolitana
CLI-00002,28,20345116,640503,1,48,640503,Valparaíso
CLI-00003,26,13316579,438433,13,3,33725,Biobío
CLI-00004,50,76532897,2937764,8,40,367220,Metropolitana
CLI-00005,39,36245844,1582016,12,10,131834,Metropolitana
CLI-00006,25,24616908,1329273,1,29,1329273,Biobío
CLI-00007,34,17932540,698913,2,86,349456,Metropolitana
CLI-00008,25,28697479,1097265,9,16,121918,Biobío
CLI-00009,18,48172772,1772601,62,4,28590,Metropolitana
CLI-00010,38,11628785,661617,1,54,661617,Metropolitana
CLI-00011,41,38306471,1572953,1,3,1572953,Metropolitana
CLI-00012,30,52646623,2983313,1,88,2983313,Biobío
CLI-00013,48,27226403,1729045,1,6,1729045,Biobío
CLI-00014,35,35210542,2166065,16,57,135379,Valparaíso
CLI-00015,36,22195314,1896769,1,24,1896769,Metropolitana
CLI-00016,34,9912530,864636,28,4,30879,Antofagasta
CLI-00017,34,20223284,1449257,1,11,1449257,Biobío
CLI-00018,39,50679270,2133037,15,5,142202,Antofagasta
CLI-00019,25,19494702,993277,1,26,993277,Antofagasta
CLI-00020,46,9836769,789443,1,30,789443,Metropolitana
CLI-00021,36,16110600,691298,17,18,40664,Metropolitana
CLI-00022,40,53229342,2178301,2,5,1089150,Metropolitana
CLI-00023,34,11492986,492949,6,44,82158,Biobío
CLI-00024,18,12721284,921513,8,41,115189,Biobío
CLI-00025,36,146187323,5661641,11,51,514694,Metropolitana
CLI-00026,39,37682706,2628080,1,94,2628080,Metropolitana
CLI-00027,29,67669016,2458960,6,4,409826,Metropolitana
CLI-00028,33,130457830,4102238,19,21,215907,Metropolitana
CLI-00029,33,5634272,582393,10,19,58239,Metropolitana
CLI-00030,36,55106726,2418880,4,20,604720,Metropolitana
CLI-00031,44,9788828,726352,29,32,25046,Antofagasta
CLI-00032,29,8925113,632669,8,22,79083,Biobío
CLI-00033,48,109699841,5013081,10,30,501308,Araucanía
CLI-00034,26,63263064,2965355,8,28,370669,Metropolitana
CLI-00035,25,10384041,745868,1,22,745868,Araucanía
CLI-00036,50,28905881,2562328,1,9,2562328,Metropolitana
CLI-00037,18,71942103,2839997,1,6,2839997,Metropolitana
CLI-00038,53,63332160,3047205,1,36,3047205,Metropolitana
CLI-00039,19,10894829,751100,7,9,107300,Valparaíso
CLI-00040,38,30481955,1325153,7,5,189307,Antofagasta
CLI-00041,35,16347760,834548,13,6,64196,Biobío
CLI-00042,35,14672458,790127,11,25,71829,Metropolitana
CLI-00043,27,46710591,2937664,32,20,91802,Biobío
CLI-00044,35,17312733,1600205,5,8,320041,Valparaíso
CLI-00045,31,22629203,982008,6,72,163668,Metropolitana
CLI-00046,41,48336912,2033376,5,38,406675,Araucanía
CLI-00047,26,32485835,958214,3,12,319404,Araucanía
CLI-00048,39,10046707,542330,2,4,271165,Metropolitana
CLI-00049,30,19029119,1445562,2,7,722781,Valparaíso
CLI-00050,18,18478273,1347421,16,12,84213,Araucanía
CLI-00051,35,19488946,1478753,10,24,147875,Metropolitana
CLI-00052,38,7998883,462836,1,8,462836,Biobío
CLI-00053,21,10402878,827621,14,6,59115,Araucanía
CLI-00054,22,8167035,299152,10,15,29915,Metropolitana
CLI-00055,32,7476848,531155,9,67,59017,Metropolitana
CLI-00056,35,37619173,1682383,1,18,1682383,Metropolitana
CLI-00057,30,30584982,1200630,9,38,133403,Metropolitana
CLI-00058,26,144988693,7183912,12,16,598659,Araucanía
CLI-00059,42,29448364,1381716,33,23,41870,Biobío
CLI-00060,34,61101514,2408376,6,20,401396,Metropolitana
CLI-00061,27,14265999,492856,9,40,54761,Valparaíso
CLI-00062,46,17955247,1791003,14,23,127928,Valparaíso
CLI-00063,28,21072647,1361231,4,59,340307,Biobío
CLI-00064,43,31665508,1303811,2,44,651905,Valparaíso
CLI-00065,40,9777826,690506,1,51,690506,Metropolitana
CLI-00066,40,29798387,1585568,13,8,121966,Valparaíso
CLI-00067,32,44396643,2018025,36,13,56056,Metropolitana
CLI-00068,47,14457917,630365,4,15,157591,Metropolitana
CLI-00069,32,102878700,3227665,2,13,1613832,Biobío
CLI-00070,24,17331283,766556,2,98,383278,Araucanía
CLI-00071,42,6565732,243017,20,35,12150,Biobío
CLI-00072,26,40570884,1308773,2,11,654386,Metropolitana
CLI-00073,50,54811725,2197089,6,10,366181,Metropolitana
CLI-00074,29,86881616,3231483,2,47,1615741,Araucanía
CLI-00075,30,57530836,4408156,15,45,293877,Biobío
CLI-00076,26,20175151,1363377,5,40,272675,Biobío
